index,Scoville Heat Units (SHU)
173,0.0
174,0.0
175,0.0
176,0.0
177,101030.71517340056
178,0.0
179,0.0
180,0.0
181,149541.30699903343
182,115601.67120874426
183,98226.55250047822
184,176826.18022188448
185,0.0
186,0.0
187,112613.60125701272
188,95703.39681510026
189,107809.52363770339
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,183530.61017827725
198,161894.6536309129
199,111652.99604727607
200,0.0
201,0.0
202,0.0
203,0.0
204,171014.18835865654
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,85922.34611790018
212,0.0
213,0.0
214,157626.5172677554
215,0.0
216,121786.36965434981
217,100193.53712841633
218,0.0
219,134592.28790405847
220,0.0
221,48350.73702904665
222,0.0
223,101470.32152378683
224,119597.49573928423
225,149236.1241855077
226,0.0
227,0.0
228,0.0
229,120414.07540635183
230,0.0
231,0.0
232,0.0
233,148914.26590963497
234,139814.97900072805
235,68484.67175624291
236,109941.50566134392
237,132925.58486152257
238,165517.51595462154
239,113535.24484605812
240,0.0
241,191039.96635594196
242,0.0
243,0.0
244,0.0
245,97888.76861089628
246,0.0
247,83989.63089330516
248,101719.1623703487
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,90022.46771155232
256,0.0
257,0.0
258,0.0
259,109890.24887053348
260,115210.606569625
261,0.0
262,0.0
263,0.0
264,143272.82100042177
265,0.0
266,91218.52028716556
267,0.0
268,0.0
269,240593.48221226555
270,0.0
271,0.0
272,0.0
273,138369.098795451
274,87883.29875683431
275,0.0
276,0.0
277,81985.6123912879
278,0.0
279,0.0
280,0.0
281,115357.80714453332
282,83095.62836333096
283,0.0
284,106440.37424085382
285,0.0
286,0.0
287,0.0
288,0.0
289,131459.0907972443
290,0.0
291,145321.42652959027
292,172632.80295254762
293,0.0
294,77259.8376746788
295,47707.808888915286
296,0.0
297,77653.79364424048
298,0.0
299,0.0
300,0.0
301,0.0
302,183283.37522024172
303,148300.5417295473
304,111741.74944506676
305,83885.24397324893
306,0.0
307,199894.6627484816
308,0.0
309,206668.20602695667
310,0.0
311,0.0
312,92289.58633593787
313,151097.432561966
314,0.0
315,0.0
316,66270.77455777932
317,0.0
318,137155.3168297808
319,0.0
320,126171.35582484746
321,0.0
322,143032.21518585732
323,0.0
324,50257.3969667276
325,123747.37813273334
326,116363.45146344938
327,0.0
328,0.0
329,0.0
330,124841.65219647378
331,0.0
332,44397.28209340942
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,126373.90539969891
340,0.0
341,109414.60325722152
342,127633.10702825189
343,108271.06153570136
344,107054.84407661867
345,0.0
346,0.0
347,0.0
348,94232.47850957385
349,0.0
350,220648.57591766992
351,111964.12928940752
352,62046.62926440628
353,113413.32792533631
354,120616.66855875544
355,85714.40870207302
356,0.0
357,0.0
358,0.0
359,113256.65722498304
360,0.0
361,119489.00580106748
362,0.0
363,144194.50923042154
364,132751.10607690128
365,139171.0929939929
366,159355.06363404653
367,0.0
368,103669.61380623362
369,103525.95867579972
370,0.0
371,122522.71934275367
372,134167.7545965667
373,0.0
374,138496.8477336489
375,181536.29368314863
376,0.0
377,85895.64779002144
378,165760.34006986106
379,0.0
380,0.0
381,0.0
382,57747.933598073396
383,0.0
384,119489.89602834969
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,70514.93058542263
392,0.0
393,134758.91184495587
394,157273.77044184803
395,143370.76294456614
396,136064.01253900115
397,0.0
398,98281.78831945198
399,0.0
400,89442.366100715
401,148979.52317548497
402,92148.17717132655
403,0.0
404,25269.799682545345
405,106525.4659859718
406,0.0
407,0.0
408,0.0
409,203959.3145786605
410,139646.99886390174
411,37135.460517930354
412,139690.55278591433
413,0.0
414,0.0
415,0.0
416,79991.19499261574
417,0.0
418,168257.4243605567
419,0.0
420,0.0
421,133686.11348277508
422,0.0
423,0.0
424,0.0
425,143922.9482845682
426,0.0
427,0.0
428,29916.566539753767
429,0.0
430,0.0
431,0.0
432,0.0
433,114144.56538161704
434,0.0
435,97337.5582479623
436,76486.7237019635
437,0.0
438,69706.51129862663
439,119355.12082300808
440,80879.7039100438
441,189416.06261963648
442,130605.92827831871
443,0.0
444,113812.46612123614
445,100510.41327372026
446,0.0
447,0.0
448,0.0
449,120291.14336195699
450,86820.78116545829
451,87531.70440650976
452,140968.93557098313
453,127736.12293760147
454,49312.5429183094
455,0.0
456,0.0
457,0.0
458,127534.61497988465
459,0.0
460,0.0
461,0.0
462,0.0
463,179946.1709737911
464,0.0
465,0.0
466,0.0
467,59997.38457994255
468,0.0
469,0.0
470,103314.30671946931
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,50668.174529277174
481,0.0
482,145485.46246174234
483,0.0
484,0.0
485,119181.97862980429
486,183903.78068438964
487,161004.83907081516
488,0.0
489,0.0
490,149469.04685125535
491,0.0
492,171990.4627230398
493,0.0
494,112058.09390645284
495,0.0
496,0.0
497,111727.99045230992
498,0.0
499,0.0
500,121858.02958846194
501,118416.01114151656
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,174614.8530683975
509,0.0
510,0.0
511,93006.89243424854
512,0.0
513,0.0
514,164600.3223648962
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,137467.88427490482
521,27742.940273867353
522,159186.44720663602
523,153018.72453685862
524,78201.01590937955
525,103796.19694926284
526,0.0
527,97883.12975074493
528,0.0
529,0.0
530,66262.81372935447
531,0.0
532,0.0
533,126402.27601804538
534,0.0
535,184486.8603698578
536,0.0
537,0.0
538,103499.15460167674
539,0.0
540,0.0
541,0.0
542,110407.6731723105
543,0.0
544,0.0
545,147068.77205502708
546,0.0
547,104954.03134709588
548,0.0
549,0.0
550,0.0
551,84904.36445096887
552,0.0
553,0.0
554,0.0
555,0.0
556,129569.9045987855
557,0.0
558,0.0
559,0.0
560,0.0
561,172852.34830361532
562,0.0
563,0.0
564,86646.82826845218
565,0.0
566,140723.72786831134
567,0.0
568,103955.50993005096
569,0.0
570,136686.22779308018
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,92822.11727102919
579,0.0
580,0.0
581,0.0
582,0.0
583,103078.33838191844
584,76659.5543205581
585,106574.31749890292
586,0.0
587,0.0
588,111270.26991455504
589,0.0
590,135781.70508402784
591,129171.25906537686
592,83150.36949734017
593,140614.18825280436
594,0.0
595,90032.59678797638
596,0.0
597,0.0
598,0.0
599,186596.38450768127
600,0.0
601,0.0
602,0.0
603,69146.96547359512
604,185938.52909573715
605,126551.09344575967
606,0.0
607,124031.91988115557
608,0.0
609,106078.7657444792
610,0.0
611,129426.64747185235
612,149577.4957442394
613,0.0
614,171480.40179638716
615,158088.37117896395
616,0.0
617,104243.86361421428
618,151873.10038066696
619,109837.20115409655
620,0.0
621,0.0
622,0.0
623,145123.78769824284
624,0.0
625,136960.34125172277
626,127635.88197157472
627,0.0
628,0.0
629,0.0
630,54120.23101559703
631,0.0
632,129513.2190849494
633,0.0
634,0.0
635,48192.79779052904
636,83243.05027540578
637,138023.74634989945
638,0.0
639,0.0
640,94775.18081013256
641,0.0
642,0.0
643,0.0
644,97942.287477638
645,0.0
646,98024.7076199615
647,0.0
648,67832.5103661956
649,40813.9198769714
650,119238.02737718321
651,0.0
652,0.0
653,69950.37531978478
654,99994.72241895825
655,39743.69506665252
656,0.0
657,89933.88634222632
658,0.0
659,0.0
660,119038.04982344531
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,96842.82685755854
668,134456.7733124246
669,121766.47553622423
670,0.0
671,115036.48693120295
672,122637.29833519863
673,0.0
674,0.0
675,0.0
676,128189.12145756918
677,137272.9225161053
678,133949.3196254702
679,90221.3724312015
680,0.0
681,0.0
682,0.0
683,99716.56825735865
684,0.0
685,127489.21970041937
686,120353.99994471847
687,85743.15074178574
688,0.0
689,0.0
690,106699.81057017809
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,119446.98053363648
699,0.0
700,0.0
701,0.0
702,94260.13113702898
703,184709.47343514228
704,86663.63978041068
705,165628.64144977092
706,0.0
707,0.0
708,134921.29595140385
709,0.0
710,0.0
711,0.0
712,125164.41531298838
713,0.0
714,119541.98563723065
715,0.0
716,128017.38182572869
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,119387.68777551639
726,0.0
727,109177.05781805649
728,108045.81830035803
729,149038.98723282566
730,0.0
731,98586.70040691203
732,0.0
733,157382.00086753687
734,104571.88182778086
735,0.0
736,0.0
737,0.0
738,79925.70297913048
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,130017.69018997697
745,0.0
746,188900.66406678263
747,118300.089634835
748,0.0
749,0.0
750,106102.84761770518
751,0.0
752,146864.6417811184
753,0.0
754,0.0
755,91332.32247966548
756,173363.513793359
757,0.0
758,0.0
759,65717.24017229158
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,57688.64340376889
766,98247.80208929107
767,131570.30655590646
768,48553.545998410205
769,87101.54062564108
770,83547.58625665779
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,88663.12063504552
777,0.0
778,122113.57146658533
779,0.0
780,0.0
781,129659.22125077719
782,90474.13768397307
783,0.0
784,0.0
785,103681.11333559279
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,150422.4454218027
794,114912.6202653574
795,136372.75971095928
796,0.0
797,91345.87983165949
798,66277.43920754088
799,0.0
